"month","site","year","ppt"
"1","05",1901,16
"1","06",1901,17
"1","07",1901,17
"1","08",1901,17
"1","09",1901,16
"1","10",1901,16
"1","0A",1901,17
"1","0B",1901,17
"1","0C",1901,16
"1","0D",1901,18
"1","0E",1901,19
"1","0F",1901,16
"1","0G",1901,18
"1","0H",1901,16
"1","0L",1901,32
"1","0Q",1901,20
"1","0R",1901,27
"1","0S",1901,30
"1","0T",1901,33
"1","0U",1901,27
"1","0V",1901,30
"1","0W",1901,19
"1","0X",1901,20
"1","0Y",1901,26
"1","0Z",1901,18
"1","BB",1901,21
"1","CC",1901,20
"1","DD",1901,23
"1","EE",1901,24
"1","FF",1901,22
"1","GG",1901,21
"1","HH",1901,22
"1","II",1901,21
"1","JJ",1901,22
"1","KK",1901,23
"1","MM",1901,23
"1","NN",1901,20
"1","QQ",1901,22
"1","RR",1901,26
"1","SS",1901,25
"1","AA",1901,19
"1","XX",1901,21
"1","YY",1901,23
"1","ZZ",1901,19
"1","TT",1901,18
"1","UU",1901,19
"1","VV",1901,19
"1","WW",1901,17
"1","PP",1901,21
"1","0N",1901,19
"1","05",1902,13
"1","06",1902,10
"1","07",1902,10
"1","08",1902,11
"1","09",1902,10
"1","10",1902,11
"1","0A",1902,11
"1","0B",1902,11
"1","0C",1902,15
"1","0D",1902,17
"1","0E",1902,18
"1","0F",1902,11
"1","0G",1902,15
"1","0H",1902,11
"1","0L",1902,30
"1","0Q",1902,23
"1","0R",1902,27
"1","0S",1902,29
"1","0T",1902,29
"1","0U",1902,27
"1","0V",1902,28
"1","0W",1902,21
"1","0X",1902,22
"1","0Y",1902,24
"1","0Z",1902,22
"1","BB",1902,21
"1","CC",1902,19
"1","DD",1902,22
"1","EE",1902,24
"1","FF",1902,22
"1","GG",1902,22
"1","HH",1902,22
"1","II",1902,21
"1","JJ",1902,22
"1","KK",1902,23
"1","MM",1902,23
"1","NN",1902,22
"1","QQ",1902,22
"1","RR",1902,26
"1","SS",1902,25
"1","AA",1902,16
"1","XX",1902,21
"1","YY",1902,23
"1","ZZ",1902,18
"1","TT",1902,22
"1","UU",1902,22
"1","VV",1902,23
"1","WW",1902,20
"1","PP",1902,21
"1","0N",1902,23
"1","05",1903,28
"1","06",1903,25
"1","07",1903,25
"1","08",1903,25
"1","09",1903,24
"1","10",1903,24
"1","0A",1903,25
"1","0B",1903,24
"1","0C",1903,29
"1","0D",1903,28
"1","0E",1903,32
"1","0F",1903,25
"1","0G",1903,24
"1","0H",1903,25
"1","0L",1903,28
"1","0Q",1903,26
"1","0R",1903,27
"1","0S",1903,30
"1","0T",1903,31
"1","0U",1903,27
"1","0V",1903,30
"1","0W",1903,27
"1","0X",1903,28
"1","0Y",1903,30
"1","0Z",1903,18
"1","BB",1903,27
"1","CC",1903,28
"1","DD",1903,24
"1","EE",1903,24
"1","FF",1903,26
"1","GG",1903,22
"1","HH",1903,22
"1","II",1903,21
"1","JJ",1903,22
"1","KK",1903,23
"1","MM",1903,23
"1","NN",1903,21
"1","QQ",1903,22
"1","RR",1903,26
"1","SS",1903,25
"1","AA",1903,23
"1","XX",1903,23
"1","YY",1903,23
"1","ZZ",1903,23
"1","TT",1903,18
"1","UU",1903,18
"1","VV",1903,18
"1","WW",1903,16
"1","PP",1903,22
"1","0N",1903,19
"1","05",1904,51
"1","06",1904,41
"1","07",1904,41
"1","08",1904,41
"1","09",1904,41
"1","10",1904,39
"1","0A",1904,41
"1","0B",1904,38
"1","0C",1904,53
"1","0D",1904,47
"1","0E",1904,57
"1","0F",1904,41
"1","0G",1904,36
"1","0H",1904,42
"1","0L",1904,44
"1","0Q",1904,44
"1","0R",1904,27
"1","0S",1904,31
"1","0T",1904,37
"1","0U",1904,27
"1","0V",1904,35
"1","0W",1904,47
"1","0X",1904,49
"1","0Y",1904,49
"1","0Z",1904,29
"1","BB",1904,37
"1","CC",1904,44
"1","DD",1904,28
"1","EE",1904,25
"1","FF",1904,33
"1","GG",1904,21
"1","HH",1904,21
"1","II",1904,21
"1","JJ",1904,22
"1","KK",1904,23
"1","MM",1904,37
"1","NN",1904,34
"1","QQ",1904,22
"1","RR",1904,26
"1","SS",1904,25
"1","AA",1904,32
