"month","site","year","tmin"
"1","05",1901,-22.8
"1","06",1901,-22.8
"1","07",1901,-22.9
"1","08",1901,-23.3
"1","09",1901,-22.6
"1","10",1901,-23.3
"1","0A",1901,-23.4
"1","0B",1901,-24
"1","0C",1901,-21.3
"1","0D",1901,-25.3
"1","0E",1901,-21.6
"1","0F",1901,-23.3
"1","0G",1901,-25.2
"1","0H",1901,-23.1
"1","0L",1901,-16.9
"1","0Q",1901,-18.5
"1","0R",1901,-23
"1","0S",1901,-22
"1","0T",1901,-20.3
"1","0U",1901,-22.7
"1","0V",1901,-21.9
"1","0W",1901,-17.4
"1","0X",1901,-17
"1","0Y",1901,-19.1
"1","0Z",1901,-17
"1","BB",1901,-26.3
"1","CC",1901,-22.9
"1","DD",1901,-27.3
"1","EE",1901,-27.8
"1","FF",1901,-26.7
"1","GG",1901,-27.6
"1","HH",1901,-27.3
"1","II",1901,-28.3
"1","JJ",1901,-28
"1","KK",1901,-27.2
"1","MM",1901,-16.8
"1","NN",1901,-17.3
"1","QQ",1901,-28.5
"1","RR",1901,-26.9
"1","SS",1901,-25.8
"1","AA",1901,-25.6
"1","XX",1901,-26.7
"1","YY",1901,-27.9
"1","ZZ",1901,-26.2
"1","TT",1901,-16.8
"1","UU",1901,-19.1
"1","VV",1901,-17.9
"1","WW",1901,-16.8
"1","PP",1901,-27.8
"1","0N",1901,-16.6
"1","05",1902,-21.8
"1","06",1902,-21.2
"1","07",1902,-21.3
"1","08",1902,-21.6
"1","09",1902,-21
"1","10",1902,-21.5
"1","0A",1902,-21.6
"1","0B",1902,-22.1
"1","0C",1902,-20.9
"1","0D",1902,-24.2
"1","0E",1902,-21
"1","0F",1902,-21.5
"1","0G",1902,-23.1
"1","0H",1902,-21.4
"1","0L",1902,-16.8
"1","0Q",1902,-18.5
"1","0R",1902,-22.3
"1","0S",1902,-21.4
"1","0T",1902,-19.7
"1","0U",1902,-22
"1","0V",1902,-21.3
"1","0W",1902,-17.3
"1","0X",1902,-17
"1","0Y",1902,-19.2
"1","0Z",1902,-16.7
"1","BB",1902,-25.5
"1","CC",1902,-22.3
"1","DD",1902,-26.4
"1","EE",1902,-26.7
"1","FF",1902,-25.8
"1","GG",1902,-26.6
"1","HH",1902,-26.4
"1","II",1902,-27.2
"1","JJ",1902,-26.9
"1","KK",1902,-26.5
"1","MM",1902,-17
"1","NN",1902,-17.4
"1","QQ",1902,-27.3
"1","RR",1902,-26.2
"1","SS",1902,-25.2
"1","AA",1902,-23.4
"1","XX",1902,-24.3
"1","YY",1902,-25.9
"1","ZZ",1902,-23.8
"1","TT",1902,-16.6
"1","UU",1902,-18.8
"1","VV",1902,-17.7
"1","WW",1902,-16.5
"1","PP",1902,-26.8
"1","0N",1902,-16.3
"1","05",1903,-22.1
"1","06",1903,-21.6
"1","07",1903,-21.7
"1","08",1903,-22.1
"1","09",1903,-21.4
"1","10",1903,-22
"1","0A",1903,-22.2
"1","0B",1903,-22.9
"1","0C",1903,-20.5
"1","0D",1903,-24.1
"1","0E",1903,-20.7
"1","0F",1903,-22.1
"1","0G",1903,-23.9
"1","0H",1903,-22
"1","0L",1903,-15.3
"1","0Q",1903,-17.1
"1","0R",1903,-21.6
"1","0S",1903,-20.6
"1","0T",1903,-18.8
"1","0U",1903,-21.3
"1","0V",1903,-20.3
"1","0W",1903,-16
"1","0X",1903,-15.7
"1","0Y",1903,-17.5
"1","0Z",1903,-15.7
"1","BB",1903,-24.8
"1","CC",1903,-21.7
"1","DD",1903,-25.7
"1","EE",1903,-26.4
"1","FF",1903,-25.1
"1","GG",1903,-26.3
"1","HH",1903,-26
"1","II",1903,-27
"1","JJ",1903,-26.7
"1","KK",1903,-25.9
"1","MM",1903,-15.4
"1","NN",1903,-16
"1","QQ",1903,-27.3
"1","RR",1903,-25.5
"1","SS",1903,-24.4
"1","AA",1903,-24.2
"1","XX",1903,-25.3
"1","YY",1903,-26.9
"1","ZZ",1903,-24.8
"1","TT",1903,-15.6
"1","UU",1903,-17.8
"1","VV",1903,-16.6
"1","WW",1903,-15.4
"1","PP",1903,-26.5
"1","0N",1903,-15.3
"1","05",1904,-22.4
"1","06",1904,-22
"1","07",1904,-22.1
"1","08",1904,-22.6
"1","09",1904,-21.8
"1","10",1904,-22.5
"1","0A",1904,-22.7
"1","0B",1904,-23.4
"1","0C",1904,-20.7
"1","0D",1904,-24.5
"1","0E",1904,-21
"1","0F",1904,-22.6
"1","0G",1904,-24.4
"1","0H",1904,-22.5
"1","0L",1904,-15.4
"1","0Q",1904,-17.2
"1","0R",1904,-22.3
"1","0S",1904,-21.3
"1","0T",1904,-18.9
"1","0U",1904,-21.9
"1","0V",1904,-20.5
"1","0W",1904,-16.1
"1","0X",1904,-15.8
"1","0Y",1904,-17.4
"1","0Z",1904,-15.9
"1","BB",1904,-25.3
"1","CC",1904,-21.7
"1","DD",1904,-26.4
"1","EE",1904,-27.1
"1","FF",1904,-25.8
"1","GG",1904,-27.4
"1","HH",1904,-27.1
"1","II",1904,-28.1
"1","JJ",1904,-27.6
"1","KK",1904,-26.9
"1","MM",1904,-15.2
"1","NN",1904,-16.2
"1","QQ",1904,-28.4
"1","RR",1904,-26.5
"1","SS",1904,-25.3
"1","AA",1904,-24.8
"1","XX",1904,-26.2
"1","YY",1904,-27.6
"1","ZZ",1904,-25.6
"1","TT",1904,-15.7
"1","UU",1904,-17.9
"1","VV",1904,-16.7
"1","WW",1904,-15.5
"1","PP",1904,-27.6
"1","0N",1904,-15.6
"1","05",1905,-23.9
"1","06",1905,-23.5
"1","07",1905,-23.6
"1","08",1905,-24.1
"1","09",1905,-23.3
"1","10",1905,-24.1
"1","0A",1905,-24.3
"1","0B",1905,-25
"1","0C",1905,-22.7
"1","0D",1905,-25.5
"1","0E",1905,-22.6
"1","0F",1905,-24.2
"1","0G",1905,-26
"1","0H",1905,-24
"1","0L",1905,-17.6
"1","0Q",1905,-20.2
"1","0R",1905,-22.3
"1","0S",1905,-21.2
"1","0T",1905,-20.3
"1","0U",1905,-22.1
"1","0V",1905,-22.1
"1","0W",1905,-19.2
"1","0X",1905,-18.8
"1","0Y",1905,-20.4
"1","0Z",1905,-19.3
"1","BB",1905,-26.7
"1","CC",1905,-23.5
"1","DD",1905,-27.4
"1","EE",1905,-27.5
"1","FF",1905,-26.9
"1","GG",1905,-27
"1","HH",1905,-26.7
"1","II",1905,-27.6
"1","JJ",1905,-27.4
"1","KK",1905,-26.8
"1","MM",1905,-18.2
"1","NN",1905,-19.1
"1","QQ",1905,-27.8
"1","RR",1905,-26.5
"1","SS",1905,-25.4
"1","AA",1905,-26.1
"1","XX",1905,-27
"1","YY",1905,-28.2
"1","ZZ",1905,-26.6
"1","TT",1905,-19
"1","UU",1905,-21.1
"1","VV",1905,-20
"1","WW",1905,-18.7
"1","PP",1905,-27.2
"1","0N",1905,-18.6
"1","05",1906,-23.5
"1","06",1906,-22.9
"1","07",1906,-23
"1","08",1906,-23.5
"1","09",1906,-22.8
"1","10",1906,-23.5
"1","0A",1906,-23.7
"1","0B",1906,-24.3
"1","0C",1906,-22.6
"1","0D",1906,-26.5
"1","0E",1906,-22.9
"1","0F",1906,-23.7
"1","0G",1906,-25.4
"1","0H",1906,-23.5
"1","0L",1906,-15.8
"1","0Q",1906,-18.9
"1","0R",1906,-23.6
"1","0S",1906,-22.4
"1","0T",1906,-19.7
"1","0U",1906,-23.3
"1","0V",1906,-21.5
"1","0W",1906,-17.9
"1","0X",1906,-17.6
"1","0Y",1906,-19.1
"1","0Z",1906,-16.8
"1","BB",1906,-27.1
"1","CC",1906,-23.6
"1","DD",1906,-28.1
"1","EE",1906,-28.9
"1","FF",1906,-27.4
"1","GG",1906,-28.9
"1","HH",1906,-28.5
"1","II",1906,-29.7
"1","JJ",1906,-29.3
"1","KK",1906,-28.3
"1","MM",1906,-16.4
"1","NN",1906,-17.2
"1","QQ",1906,-30
"1","RR",1906,-27.9
"1","SS",1906,-26.8
"1","AA",1906,-25.6
"1","XX",1906,-27.5
"1","YY",1906,-28.8
"1","ZZ",1906,-26.6
"1","TT",1906,-16.5
"1","UU",1906,-18.7
"1","VV",1906,-17.5
"1","WW",1906,-16.3
"1","PP",1906,-29.1
"1","0N",1906,-16.4
"1","05",1907,-31.3
"1","06",1907,-30.7
"1","07",1907,-30.8
"1","08",1907,-31.3
"1","09",1907,-30.5
"1","10",1907,-31.1
"1","0A",1907,-31.3
"1","0B",1907,-32
"1","0C",1907,-30.9
"1","0D",1907,-33.6
"1","0E",1907,-30.8
"1","0F",1907,-31.2
"1","0G",1907,-32.9
"1","0H",1907,-31.1
