,"ID","Stand","AD","TreeNum","TreeID","Spp","dbh","height","x","y","in_transect"
"1","06A01","06","A",1,19,"POTR","133","NA","NA","NA",0
"2","06A02","06","A",2,20,"POTR","148","NA","NA","NA",0
"3","06A03","06","A",3,21,"POTR","144","NA","NA","NA",0
"4","06A04","06","A",4,22,"POTR","202","NA","NA","NA",0
"5","06A05","06","A",5,23,"POTR","188","NA","NA","NA",0
"6","06A06","06","A",6,24,"POTR","173","NA","NA","NA",0
"7","06A07","06","A",7,25,"POTR","195","NA","NA","NA",0
"8","06A08","06","A",8,26,"POTR","141","NA","NA","NA",0
"9","06L01","06","L",1,1,"PIMA","23.0","2.45","3.0","-7.0",1
"10","06L02","06","L",2,2,"PIMA","60.0","6.7","35.0","3.0",1
"11","06L03","06","L",3,3,"PIMA","55.0","4.9","68.0","1.0",1
"12","06L04","06","L",4,4,"PIMA","39.0","3.95","68.0","-8.0",1
"13","06L05","06","L",5,5,"PIMA","40.0","3.55","75.0","-1.0",1
"14","06L06","06","L",6,6,"PIMA","2.0","1.33","94.0","4.0",1
"15","06L07","06","L",7,7,"PIMA","7.0","1.69","120.0","10.0",1
"16","06L08","06","L",8,8,"PIMA","82.0","7.39","129.0","3.0",1
"17","06L09","06","L",9,9,"PIMA","25.0","2.65","143.0","-4.0",1
"18","06L10","06","L",10,10,"PIMA","18.0","2.14","147.0","-2.0",1
"19","06L11","06","L",11,11,"PIMA","26.0","3.1","150.0","6.0",1
"20","06L12","06","L",12,12,"PIMA","108.0","8.20782807738274","NA","NA",0
"21","06L13","06","L",13,13,"PIMA","123.0","14.1507264910899","NA","NA",0
"22","06L14","06","L",14,14,"PIMA","88.0","7.60608985988362","NA","NA",0
"23","06L15","06","L",15,15,"PIMA","NA","6.00088845534511","NA","NA",0
"24","06L16","06","L",16,16,"PIMA","175.0","13.7080316325319","NA","NA",0
"25","06L17","06","L",17,17,"PIMA","151.0","9.70655511109357","NA","NA",0
"26","06L18","06","L",18,18,"PIMA","120.0","9.85231494982632","NA","NA",0
"27","07A01","07","A",1,41,"POTR","144","NA","NA","NA",0
"28","07A02","07","A",2,42,"POTR","156","NA","NA","NA",0
"29","07A03","07","A",3,43,"POTR","158","NA","NA","NA",0
"30","07A04","07","A",4,44,"POTR","157","NA","NA","NA",0
"31","07A05","07","A",5,45,"POTR","159","NA","NA","NA",0
"32","07A06","07","A",6,46,"POTR","191","NA","NA","NA",0
"33","07A07","07","A",7,47,"POTR","169","NA","NA","NA",0
"34","07A08","07","A",8,48,"POTR","177","NA","NA","NA",0
"35","07L01","07","L",1,27,"PIMA","38.0","3.86","132.0","13.0",1
"36","07L02","07","L",2,28,"PIMA","14.0","1.81","144.0","7.0",1
"37","07L03","07","L",3,29,"PIMA","21.0","2.12","270.0","2.0",1
"38","07L04","07","L",4,30,"PIMA","53.0","4.22","60.0","11.0",1
"39","07L05","07","L",5,31,"PIMA","51.0","4.19","55.0","-1.0",1
"40","07L06","07","L",6,32,"PIMA","48.0","3.88","104.0","-13.0",1
"41","07L07","07","L",7,33,"PIMA","189.0","15.8477365490767","NA","NA",0
"42","07L08","07","L",8,34,"PIMA","192.0","19.3091692414452","NA","NA",0
"43","07L09","07","L",9,35,"PIMA","170.0","12.4733888502713","NA","NA",0
"44","07L10","07","L",10,36,"PIMA","133.0","13.8888450183689","NA","NA",0
"45","07L11","07","L",11,37,"PIMA","127.0","13.0759402076446","NA","NA",0
"46","07L12","07","L",12,38,"PIMA","154.0","12.4067693979771","NA","NA",0
"47","07L13","07","L",13,39,"PIMA","183.0","11.7973646179646","NA","NA",0
"48","07L14","07","L",14,40,"PIMA","217.0","16.4860896946504","NA","NA",0
"49","08L01","08","L",1,997,"PIMA","53.0","4.61","46.0","6.0",1
"50","08L02","08","L",2,998,"PIMA","95.0","10.13","77.0","3.0",1
"51","08L03","08","L",3,999,"PIMA","72.0","6.55","97.0","10.0",1
"52","08L04","08","L",4,1000,"PIMA","163.0","13.0","121.0","-1.0",1
"53","08L05","08","L",5,1001,"PIMA","165.0","14.6","150.0","7.0",1
"54","08L06","08","L",6,1002,"PIMA","51.0","4.95","180.0","6.0",1
"55","08L07","08","L",7,1003,"PIMA","39.0","2.84","190.0","1.0",1
"56","08L08","08","L",8,1004,"PIMA","137.0","12.1616741119527","NA","NA",0
"57","08L09","08","L",9,1005,"PIMA","158.0","12.2176382185751","NA","NA",0
"58","08L10","08","L",10,1006,"PIMA","163.0","12.6363199813966","NA","NA",0
"59","08L11","08","L",11,1007,"PIMA","158.0","11.1642191352967","NA","NA",0
"60","08L12","08","L",12,1008,"PIMA","150.0","9.3034308854259","NA","NA",0
"61","08L13","08","L",13,1009,"PIMA","199.0","16.0195419061242","NA","NA",0
"62","09A01","09","A",1,63,"POTR","217","NA","NA","NA",0
"63","09A02","09","A",2,64,"POTR","241","NA","NA","NA",0
"64","09A03","09","A",3,65,"POTR","212","NA","NA","NA",0
"65","09A04","09","A",4,66,"POTR","238","NA","NA","NA",0
"66","09A05","09","A",5,67,"POTR","244","NA","NA","NA",0
"67","09A06","09","A",6,68,"POTR","225","NA","NA","NA",0
"68","09A07","09","A",7,69,"POTR","156","NA","NA","NA",0
"69","09A08","09","A",8,70,"POTR","200","NA","NA","NA",0
"70","09L01","09","L",1,49,"PIMA","21.0","2.27","12.0","5.0",1
"71","09L02","09","L",2,50,"PIMA","73.0","5.96","24.0","4.0",1
"72","09L03","09","L",3,51,"PIMA","138.0","12.0","25.0","6.0",1
"73","09L04","09","L",4,52,"PIMA","91.0","8.82","30.0","1.0",1
"74","09L05","09","L",5,53,"PIMA","156.0","10.0","35.0","3.0",1
"75","09L06","09","L",6,54,"PIMA","54.0","5.78","49.0","5.0",1
"76","09L07","09","L",7,55,"PIMA","67.0","6.32","50.0","0.0",1
"77","09L08","09","L",8,56,"PIMA","147.0","12.6009679080433","NA","NA",0
"78","09L09","09","L",9,57,"PIMA","139.0","13.7701669320296","NA","NA",0
"79","09L10","09","L",10,58,"PIMA","140.0","11.1595842248032","NA","NA",0
"80","09L11","09","L",11,59,"PIMA","173.0","15.6504756820306","NA","NA",0
"81","09L12","09","L",12,60,"PIMA","175.0","14.1036109621278","NA","NA",0
"82","09L13","09","L",13,61,"PIMA","203.0","13.6863893710201","NA","NA",0
"83","09L14","09","L",14,62,"PIMA","194.0","15.0080155881682","NA","NA",0
"84","0AL01","0A","L",1,1010,"PIMA","191.0","12.34","60.0","-4.0",1
"85","0AL02","0A","L",2,1011,"PIMA","93.0","8.54","122.0","12.0",1
"86","0AL03","0A","L",3,1012,"PIMA","42.0","4.05","158.0","1.0",1
